Close;Var;Maximo;Minimo
81.94;-0.46;82.25;81.43
82.04;1.77;82.94;79.58
80.62;4.13;80.81;77.28
77.46;-4.58;81.17;76.6
81.06;-1.71;83.04;80.79
82.35;-0.21;83.97;82.06
82.74;1.61;82.84;80.41
81.65;2.05;82.06;79.79
79.92;0.48;81.48;79.44
79.76;-2.27;81.96;79.2
81.41;-4.43;85.19;81.4
85.16;0.32;86.46;84.88
85.23;-1.87;87.8;84.56
86.96;2.75;87.05;84.64
84.9;-0.14;87.24;84.58
87.42;-0.03;88.61;87.4
87.91;-2.84;90.15;87.2
90.36;2.76;90.75;87.83
88.31;-2.02;90.4;87.53
90.16;2.37;90.35;86.68
88.08;-1.95;90.68;87.35
90.57;-1.73;92.45;89.62
92.58;0.22;93.79;91.66
92.87;1.5;93.48;89.57
91.36;1.62;93;90.6
91;1.51;91;88.88
90.17;-0.79;91.39;89.5
90.9;5.7;91;86.28
86.24;0.49;87.64;85.18
85.49;-2.46;88.26;85.21
87.64;-0.58;88.49;86.91
88.26;4.35;89;86
84.25;0.21;84.95;83.44
84.23;-1.84;86.52;83.84
85.99;-5.42;91.21;85.75
91.12;0.45;91.56;89.5
90.5;-1.84;93.33;90.35
95.34;-0.04;96.26;94.9
95.14;-1.46;97.69;94.76
96.65;2.86;97.06;94.1
94.09;0.86;94.21;91.8
